Timestamp (YYYYMMDDhhmmss), Humidade, Temperatura
20160206192356, 80, 22
20160206192357, 80, 22
20160206192358, 80, 22
20160206192359, 80, 22
20160206192400, 80, 22
20160206192401, 80, 22
20160206192402, 80, 22
20160206192403, 80, 22
20160206192404, 80, 22
20160206192405, 80, 22
20160206192406, 80, 22
20160206192407, 80, 22
20160206192408, 80, 22
20160206192409, 80, 22
20160206192410, 80, 22
